# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Miner Revenue (USD)
2017-02-08,2085023.01932909
2017-02-09,
2017-02-10,
2017-02-11,
2017-02-12,1849457.27798897
2017-02-13,
2017-02-14,
2017-02-16,2102990.20200481
2017-02-18,
2017-02-20,2148454.96743745
2017-02-22,
2017-02-24,2699193.33772453
2017-02-26,
2017-02-28,2548889.19696578
2017-03-02,
2017-03-04,2424004.59063409
2017-03-05,
2017-03-06,
2017-03-07,
2017-03-08,2442222.93782909
2017-03-09,
2017-03-10,
2017-03-11,
2017-03-12,2573064.17280145
2017-03-13,
2017-03-14,
2017-03-15,
2017-03-16,2731477.73133023
2017-03-17,
2017-03-18,
2017-03-19,
2017-03-20,2014133.75075982
2017-03-22,
2017-03-24,2405463.76315141
2017-03-26,
2017-03-28,2264423.9847332
2017-03-30,
2017-04-01,2025106.75893696
2017-04-03,
2017-04-05,2673677.81014339
2017-04-06,
2017-04-07,
2017-04-08,
2017-04-09,2639028.47971234
2017-04-10,
2017-04-11,
2017-04-12,
2017-04-13,2152057.9103319
2017-04-14,
2017-04-15,
2017-04-16,
2017-04-17,2405342.14992486
2017-04-18,
2017-04-19,
2017-04-20,
2017-04-21,2938953.71533901
2017-04-23,
2017-04-25,2730056.14610532
2017-04-27,
2017-04-29,3282240.04874294
2017-05-01,
2017-05-03,2801412.84630984
2017-05-05,
2017-05-07,3798375.63516212
2017-05-09,
2017-05-10,
2017-05-11,3603539.08867485
2017-05-12,
2017-05-13,
2017-05-14,
2017-05-15,4329595.85547557
2017-05-16,
2017-05-17,
2017-05-18,
2017-05-19,4815456.24257254
2017-05-20,
2017-05-21,
2017-05-22,
2017-05-23,5849528.14907328
2017-05-24,
2017-05-25,
2017-05-27,5550225.48785938
2017-05-29,
2017-05-31,5896299.59870206
2017-06-02,
2017-06-04,6277178.51580928
2017-06-06,
2017-06-08,7029707.6002043
2017-06-10,
2017-06-12,6495311.58752569
2017-06-13,
2017-06-14,
2017-06-15,
2017-06-16,5412747.31911236
2017-06-17,
2017-06-18,
2017-06-19,
2017-06-20,5831891.72450183
2017-06-21,
2017-06-22,
2017-06-23,
2017-06-24,5726988.95952891
2017-06-25,
2017-06-26,
2017-06-27,
2017-06-28,6013686.13596844
2017-06-30,
2017-07-02,6234521.40998292
2017-07-04,
2017-07-06,5302487.88461233
2017-07-08,
