Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
399001.SZ,2020-07-14,14121.330078125,14151.0,13698.26953125,13996.4599609375,13996.4599609375,3314700.0,
399001.SZ,2020-07-15,14017.9296875,14077.5595703125,13646.66015625,13734.1298828125,13734.1298828125,2945000.0,
399001.SZ,2020-07-16,13731.2802734375,13853.4404296875,12966.3203125,12996.33984375,12996.33984375,2913100.0,
399001.SZ,2020-07-17,13002.83984375,13315.4404296875,12916.080078125,13114.9404296875,13114.9404296875,2248500.0,
399001.SZ,2020-07-20,13303.7998046875,13448.849609375,13032.400390625,13448.849609375,13448.849609375,2345500.0,
399001.SZ,2020-07-21,13480.3896484375,13572.9296875,13396.580078125,13536.169921875,13536.169921875,2158000.0,
399001.SZ,2020-07-22,13507.349609375,13816.669921875,13459.8798828125,13657.0302734375,13657.0302734375,2307800.0,
399001.SZ,2020-07-23,13661.5,13661.5,13661.5,13661.5,13661.5,0.0,
399001.SZ,2020-07-24,13547.8095703125,13602.7900390625,12868.9501953125,12935.7001953125,12935.7001953125,2458100.0,
399001.SZ,2020-07-27,13013.76953125,13093.83984375,12838.8701171875,12976.8701171875,12976.8701171875,1670800.0,
399001.SZ,2020-07-28,13107.4296875,13196.6201171875,13022.8203125,13147.349609375,13147.349609375,1602100.0,
399001.SZ,2020-07-29,13117.1904296875,13557.4404296875,13085.9501953125,13557.4404296875,13557.4404296875,1885100.0,
399001.SZ,2020-07-30,13595.76953125,13619.490234375,13432.1298828125,13466.849609375,13466.849609375,1941900.0,
399001.SZ,2020-07-31,13464.2099609375,13748.0302734375,13399.8603515625,13637.8798828125,13637.8798828125,2078900.0,
399001.SZ,2020-08-03,13771.740234375,13964.5595703125,13712.98046875,13964.5595703125,13964.5595703125,2403100.0,
399001.SZ,2020-08-04,13966.73046875,14012.7099609375,13779.2197265625,13860.4599609375,13860.4599609375,2299300.0,
399001.SZ,2020-08-05,13859.3203125,13993.669921875,13726.6201171875,13960.9296875,13960.9296875,2032000.0,
