,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-05-01,0.0693212417852845,0.2614203027567818,0.1617162433397899,0.7291489679871075,4.440840418029733e-05,2.974065844694584e-05,0.0001024077224843,6.295595395029426e-05,0.0005050858620842
2015-05-02,0.0690694015380881,0.26126468575949,0.1635318050558937,0.7246999455893598,4.456279747197418e-05,2.999054663859545e-05,0.0001049268575703,6.216045940350557e-05,0.0005201434840359
2015-05-03,0.0687942435740613,0.2612370646993646,0.1679240474687445,0.7208530714478164,4.499745818077103e-05,3.0240479066646923e-05,0.0001066403993049,6.18171123571683e-05,0.0005338759030204
2015-05-04,0.0684927665926374,0.2543215450265692,0.1545035526622208,0.7155679682018747,4.573789035692222e-05,3.0490571504998915e-05,0.0001074616826812,6.197050618488285e-05,0.0005462955476135
2015-05-05,0.068148187218904,0.2494221930245272,0.1494731124752219,0.7270460005414937,4.62968206876788e-05,3.074044718569914e-05,0.0001094678806733,6.208662289316045e-05,0.0005611509052555
2015-05-06,0.0677657577926047,0.2435846509306156,0.1469973468970653,0.7454138023325211,4.6814003905882605e-05,3.099015152295204e-05,0.000112080557436,6.234079081762809e-05,0.0005772453914264
2015-05-07,0.0677472391972621,0.2406276628991676,0.1458815594131334,0.717826045476813,4.660048602868706e-05,3.1243379658745366e-05,0.0001151549306772,6.263056681965475e-05,0.0005873796767146
2015-05-08,0.0681321311118473,0.241436285429361,0.149092805607103,0.7029527931470889,4.552943703209721e-05,3.150043739424602e-05,0.0001189253461758,6.289753532880627e-05,0.0005911831768268
2015-05-09,0.0687357210395897,0.2420337021306894,0.1470436915584572,0.7028252267605432,4.401856610191409e-05,3.175961812760973e-05,0.0001230754244,6.332283229238665e-05,0.000591185216613
2015-05-10,0.0696745543451665,0.24345150637068,0.1398357605066868,0.7035486770959757,4.185154825130346e-05,3.202196005063594e-05,0.0001276390014342,6.38710916772189e-05,0.0005853586368738
2015-05-11,0.0707120687399942,0.2388897858335594,0.1489942833212395,0.7049149613575706,3.929395810802653e-05,3.228528088207728e-05,0.0001332697165719,6.448158580392781e-05,0.0005788861810439
2015-05-12,0.0718403458257207,0.2271612465381442,0.174237765157998,0.7131116738793476,3.636118596866313e-05,3.254948307476308e-05,0.0001399761086929,6.517605762543138e-05,0.0005718381850802
